round fs_size aged_time aged_layout_score clean_time clean_layout_score
65 5283840 0.01972675323486328 0.4887683965917893 0.01671910285949707 0.9845081332300543 
66 5324800 0.019541025161743164 0.48501152959262106 0.016577959060668945 0.9846272098385858 
67 5365760 0.01988697052001953 0.4813119755911518 0.016714811325073242 0.984744469870328 
68 5406720 0.020052194595336914 0.47766843300529904 0.017094135284423828 0.9848599545798638 
69 5447680 0.02014923095703125 0.4740796393688955 0.017058372497558594 0.9849737039819685 
70 5488640 0.02011847496032715 0.4705443698732289 0.017026662826538086 0.9850857568978374 
71 5529600 0.02016901969909668 0.46637102734663716 0.017152070999145508 0.9851961509992598 
72 5570560 0.020402908325195312 0.46362968405584126 0.017139673233032227 0.9853049228508449 
73 5611520 0.020405292510986328 0.4602479941648432 0.015665769577026367 0.9854121079504011 
74 5652480 0.02053666114807129 0.45691527878349025 0.01741480827331543 0.9855177407675597 
